fraction,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std,kendall_tau_mean,kendall_tau_std,r2_mean,r2_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,n_points
0.0,0.5515203579343849,0.15560069666151488,0.5537040254518425,0.1629355691156651,0.40089355162080104,0.14327688724440638,0.3108078762787517,0.20569170117653865,0.341770139742738,0.1837376643037797,0.5554325262531664,0.1969999744751863,0.42349397986501003,0.14769468103146174,7
0.01,0.5595845212826223,0.15575202517816408,0.5543504157095871,0.17052089756594865,0.4028811415404862,0.14873480817122017,0.3115935853293791,0.2080006176569809,0.3420801742579343,0.18580763917251572,0.5552908152590846,0.19837926354496163,0.41999371009192743,0.1464311214799699,7
0.02,0.5497759118349752,0.15849267782733303,0.5515704801407323,0.1658967561451588,0.40358192421811284,0.14713506712228253,0.31111693058661666,0.2101750933158468,0.3436212079373459,0.19151472250486226,0.555863861858483,0.20102073902951512,0.4215577763240127,0.14925201894819964,7
0.03,0.5490395505576211,0.15859925055959645,0.5468877658660444,0.17136550516498006,0.3950029292634539,0.1519397054196394,0.31057152320758713,0.21239061130501005,0.34467113724919296,0.19329594002704076,0.5563356630579831,0.20253903772408552,0.4198966809141878,0.1496696387740529,7
0.04,0.5611091174250973,0.15851594725568718,0.5599914216241193,0.1568505120378886,0.41299208351607203,0.13872865382985458,0.32514100635616255,0.21203929978971353,0.3391718118525442,0.19767563260734264,0.5508621263768073,0.20414827415107142,0.4141580787368189,0.14707191130013428,7
0.05,0.5728547116109566,0.15250756147245606,0.558613846607068,0.17530473733793805,0.40629168229981966,0.15444918943060482,0.33519369899544743,0.20394985988145184,0.3295926447659876,0.17706661775760452,0.5452672106825365,0.19405076485433664,0.41218877207644755,0.14529228569043376,7
0.06,0.5817973069125476,0.14938998776374077,0.5790872980129712,0.14734006550982406,0.4271785038801726,0.13380383550367764,0.34502581152919165,0.2011566779741283,0.3287322375339802,0.19341220605848172,0.542591383021084,0.20011988083676774,0.40709628477781074,0.14459666045044217,7
0.07,0.5994326498791498,0.1325961139922396,0.5701522617958622,0.1543869101642581,0.42042519617413865,0.13953483081799556,0.36321463211213956,0.18848046379381703,0.3179545647585157,0.17922196053990966,0.5347468113292135,0.19321960206040156,0.4037225806449232,0.144306218039527,7
0.08,0.5908290641425422,0.14736708832848094,0.5870060848238933,0.1460317014756907,0.4345898474942587,0.13344454440209969,0.34690657637387723,0.20849391221462052,0.32925164511174565,0.19896419854692882,0.5420270727734154,0.20339128236275578,0.4038717539006281,0.1447061378113688,7
0.09,0.5964612515985542,0.14332437670469025,0.5753295582254314,0.15439901089852318,0.4214005157395831,0.1408173407081914,0.36086816100279656,0.20049818998411406,0.32183270052033225,0.19310983387238648,0.5361914123643182,0.2001334091673308,0.3995284964770461,0.14344631598294824,7
