model,n,score,rank
lgbm_advanced,1996,1.2494329839478147,1.0
lgbm_basic,1996,1.2859542896801144,2.0
ecfp_rf,1996,1.3298487386548792,3.0
torch_mlp_advanced,1996,1.4200456473715704,4.0
torch_mlp_basic,1996,1.5687193526127547,5.0
ecfp_linear,1996,1.6003489205900407,6.0
