family,dataset,task_type,model,scenario,seed,fraction,baseline_value,metric,metric_direction,observed_value,degradation,relative_degradation
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,0,1.0,0.883624107850912,roc_auc,higher,0.7957969865186361,0.08782712133227599,0.09939421135292799
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0,0.01,0.8298969072164949,roc_auc,higher,0.8298969072164949,0.0,0.0
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0,0.02,0.8298969072164949,roc_auc,higher,0.8289056304520221,0.0009912767644727483,0.0011944577161969762
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0,0.05,0.8298969072164949,roc_auc,higher,0.8257335448057098,0.004163362410785076,0.005016722408026738
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0,0.1,0.8298969072164949,roc_auc,higher,0.8039254559873117,0.025971451229183207,0.031294792164357405
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0,0.2,0.8298969072164949,roc_auc,higher,0.8241475019825535,0.005749405233941407,0.006927854753941819
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0,0.5,0.8298969072164949,roc_auc,higher,0.7234337827121332,0.10646312450436168,0.1282847587195414
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0,1.0,0.8298969072164949,roc_auc,higher,0.6601903251387787,0.16970658207771616,0.2044911610129002
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0,0.01,0.8767842981760507,roc_auc,higher,0.8835249801744647,-0.006740681998413933,-0.007687959299038978
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0,0.02,0.8767842981760507,roc_auc,higher,0.8822363203806503,-0.005452022204599505,-0.006218202374222702
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0,0.05,0.8767842981760507,roc_auc,higher,0.8828310864393338,-0.006046788263283087,-0.006896551724137907
