model,n,score,rank
torch_mlp_basic,133,0.7030360531309297,1.0
torch_mlp_advanced,133,0.6922833649588868,2.0
ecfp_linear,133,0.6780518659076533,3.0
lgbm_advanced,133,0.6777356103731815,4.0
ecfp_rf,133,0.6701454775458571,5.0
lgbm_basic,133,0.6578115117014548,6.0
