mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
leakage_curve,0.0,0.1959866594878748,0.3892494720807615,-0.7778790922919566,0.8563488385776752
leakage_curve,0.05,0.16546876323700735,0.35805743701971643,-0.8563488385776752,0.8563488385776752
leakage_curve,0.1,0.14718718218581625,0.34641016151377546,-0.8294921795791675,0.8563488385776752
leakage_curve,0.25,0.16089078797544373,0.34641016151377546,-0.8337327046841951,0.8563488385776752
leakage_curve,0.5,0.17018264396841623,0.34641016151377546,-0.8563488385776752,0.8563488385776752
leakage_curve,0.75,,,,
leakage_curve,observed,0.1781099156953827,0.35805743701971643,-0.7814897576474771,0.8563488385776752
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.09988889994526544,0.18257418583505533,-0.7745966692414834,0.8563488385776752
random_matched_control,0.05,0.10313713272690862,0.2148344622118299,-0.7745966692414834,0.8563488385776752
random_matched_control,0.1,0.13143070498970844,0.29814239699997197,-0.7877263614433762,0.8563488385776752
random_matched_control,0.25,0.08331562612051797,0.18257418583505533,-0.7947880156526798,0.8563488385776752
random_matched_control,0.5,0.11523421423456728,0.2335496832484569,-0.7877263614433762,0.8563488385776752
random_matched_control,0.75,0.08898127456904828,0.18257418583505533,-0.8563488385776752,0.8563488385776752
random_matched_control,observed,0.12315639602297887,0.29814239699997197,-0.7877263614433762,0.8563488385776752
