group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,81,1.3596202042425576,0.01678543462027849,0.6733946916031373
audit_group,exact_leak,17,0.1681083748319818,0.009888727931293046,0.06269340219086278
audit_group,label_conflict,4,0.251060553180106,0.0627651382950265,0.022241427915884498
audit_group,near_train_analogue,21,0.4021913757304712,0.01915197027287958,0.0512534703416803
audit_group,same_scaffold,59,0.23084759049176296,0.003912671025284118,0.19041700794843522
clean_vs_nonclean,audit_clean,81,1.3596202042425576,0.01678543462027849,0.6733946916031373
clean_vs_nonclean,nonclean,101,1.0522078942343218,0.010417899942914078,0.32660530839686275
max_train_tanimoto_bin,"[0, 0.4)",46,0.14736137199109867,0.0032035080867630146,0.42489648948208253
max_train_tanimoto_bin,"[0.4, 0.6)",28,2.3027895235027045,0.08224248298223945,0.2892054206467053
max_train_tanimoto_bin,"[0.6, 0.8)",48,-0.87876663801012,-0.0183076382918775,0.11006558316998534
max_train_tanimoto_bin,"[0.8, 0.9)",24,0.3088265943230988,0.01286777476346245,0.07302229425774273
max_train_tanimoto_bin,"[0.9, 1.0]",36,0.5316172466700966,0.014767145740836016,0.102810212443484
