mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
conflict_curve,0.0,-0.07653333333333333,-0.06666666666666665,-0.8666666666666666,0.7333333333333333
conflict_curve,0.05,-0.0788,-0.06666666666666665,-0.8666666666666666,0.7333333333333333
conflict_curve,0.1,-0.05159999999999999,-0.06666666666666665,-0.7333333333333333,0.7333333333333333
conflict_curve,0.25,0.015333333333333332,0.06666666666666665,-0.7333333333333333,0.4666666666666666
conflict_curve,0.5,0.39613333333333334,0.4666666666666666,-0.3333333333333333,0.8666666666666666
conflict_curve,0.75,0.36573333333333335,0.4666666666666666,-0.3333333333333333,0.8666666666666666
conflict_curve,observed,-0.08746666666666666,-0.06666666666666665,-0.8666666666666666,0.7333333333333333
leakage_curve,0.0,-0.047466666666666664,-0.06666666666666665,-0.7333333333333333,0.7333333333333333
leakage_curve,0.05,-0.076,-0.06666666666666665,-0.8666666666666666,0.7333333333333333
leakage_curve,0.1,0.11586666666666666,0.06666666666666665,-0.7333333333333333,0.7333333333333333
leakage_curve,0.25,0.2257333333333333,0.2,-0.6,0.7333333333333333
leakage_curve,0.5,0.6546666666666665,0.6,0.6,0.8666666666666666
leakage_curve,0.75,0.6378666666666665,0.6,0.6,0.7333333333333333
leakage_curve,observed,-0.0484,-0.06666666666666665,-0.7333333333333333,0.7333333333333333
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,-0.0724,-0.06666666666666665,-0.7366666666666665,0.7333333333333333
random_matched_control,0.05,-0.09340000000000001,-0.2,-0.7333333333333333,0.7333333333333333
random_matched_control,0.1,-0.07759999999999999,-0.06666666666666665,-0.8666666666666666,0.7333333333333333
random_matched_control,0.25,-0.06893333333333333,-0.06666666666666665,-0.8666666666666666,0.7333333333333333
random_matched_control,0.5,-0.08726666666666666,-0.2,-0.8666666666666666,0.7333333333333333
random_matched_control,0.75,-0.06433333333333333,-0.06666666666666665,-0.7333333333333333,0.7333333333333333
random_matched_control,observed,-0.07840000000000001,-0.06666666666666665,-0.7333333333333333,0.7333333333333333
