fraction,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std,kendall_tau_mean,kendall_tau_std,r2_mean,r2_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,n_points
0.0,0.5515203579343849,0.15560069666151488,0.5537040254518425,0.1629355691156651,0.40089355162080104,0.14327688724440638,0.3108078762787517,0.20569170117653865,0.341770139742738,0.1837376643037797,0.5554325262531664,0.1969999744751863,0.42349397986501003,0.14769468103146174,7
0.01,0.4940461954599818,0.19808151136763721,0.5096615208574369,0.17622736854218157,0.36785796365092266,0.15380893388146505,0.2557392667601533,0.24916550556732966,0.38074313817295363,0.2521206112739871,0.5799459858208277,0.2276109772992924,0.44727933710740553,0.173484914314417,7
0.02,0.473378631965054,0.19308822889052585,0.49957448905776564,0.17955611052592163,0.35971973453258743,0.1535848934029942,0.23151371964425,0.23298513624791348,0.38616230341174734,0.23382548713089255,0.5877855533347542,0.21782757971957584,0.45310687205329153,0.16963500350298863,7
0.03,0.5016384852592431,0.16751599215699212,0.5257675634324369,0.1845307006254384,0.3811097821070223,0.15347277996861913,0.24797603514780256,0.2085714715404852,0.36896111473236687,0.1909783546909093,0.579085868170871,0.198050794881889,0.4397563909466878,0.14886730734011008,7
0.04,0.4662632085292965,0.1917716118286949,0.48736465069662793,0.18022175249258418,0.3504258307328927,0.14859584450804778,0.21612294630621848,0.23913989336773384,0.3967472944112636,0.2631655823340658,0.5940021066919071,0.2263336554727258,0.4577089992081122,0.1694149256002888,7
0.05,0.41544886556247546,0.23312536354590097,0.4605738105536852,0.19182644432746795,0.3297251740711764,0.16148771403417037,0.07765360208828839,0.4019806019901113,0.4883203247958371,0.41433124985667663,0.6459332113482039,0.2879914000199296,0.4928363034237235,0.21073692783480028,7
0.06,0.42467697566452406,0.18115834597519642,0.45758454211189853,0.19428744165381254,0.32233076999454324,0.15598998990885113,0.10705061421983741,0.2850911460251261,0.45368740616819964,0.30853613094401594,0.6340465861778084,0.24552879297252367,0.49271186287468005,0.1969428712934949,7
0.07,0.474438014145329,0.15660608693033504,0.49571132912314475,0.16961055787289564,0.3546442159252818,0.13505183736382978,0.16856942847364006,0.261954781144171,0.4240853444242849,0.29965825717815675,0.6121734376659907,0.23989691761373183,0.4742874624378651,0.185356070523638,7
0.08,0.44662292532142367,0.1624020077419154,0.4691808143982006,0.16471299649521506,0.3296333425621996,0.1394954165718155,0.1596754502795226,0.22354907957111464,0.4168415102224688,0.25658883558133955,0.612770727225872,0.21964927442888488,0.4731399320489783,0.1707292788315781,7
0.09,0.46602386108339744,0.1689205223652526,0.4922248309415856,0.21451581648695991,0.35525145876360115,0.16711170504849732,0.1448664064458885,0.2846592432516199,0.4087650895130338,0.21292037095938532,0.6112860162284844,0.20234519644071944,0.4640744774295314,0.1610828051174983,7
0.1,0.4151706262419364,0.15345185499529254,0.46306284664279534,0.1516200522447567,0.33045213660348205,0.12622648283438484,0.1389789172939119,0.16515969775598416,0.41514304131412766,0.22246294230371644,0.6173376277346192,0.19927412563260807,0.47555617210855194,0.16354185095942886,7
0.11,0.3367153883355206,0.2426335582130296,0.389282458312648,0.25687675055411,0.27136463294588853,0.20315254929205434,-0.06426520541142085,0.5382718608154542,0.5688407215099861,0.5599951832314406,0.6900078357815687,0.3289147195677914,0.5216075947548134,0.2368227433640031,7
0.12,0.3866970895236919,0.2010533033881787,0.412111086254054,0.22141216740675945,0.29408091168077294,0.17312435716471974,0.08017473761532047,0.30218933774521767,0.46791856300729723,0.3553590992918627,0.641838875151426,0.25551580168407895,0.49425410728406416,0.19986675805789048,7
0.13,0.38421561335097687,0.21364518846261601,0.4428743058855126,0.1739815729780342,0.3201305276184602,0.13217794861757,0.03732654279536799,0.3698475296761963,0.4952892145553153,0.41786577431915634,0.6551566498076223,0.27761269524800636,0.4829318989712609,0.18950019908776403,7
0.14,0.44376122267054424,0.12839682008349249,0.46510165490010424,0.14857333841992285,0.3328098603004634,0.11835397044043114,0.07330426577102937,0.2776160541514843,0.44984212473371704,0.2675211646752043,0.6384349994293194,0.22199854866710814,0.4834497127342474,0.17132921529859688,7
0.15,0.4668426905687424,0.14352586561551386,0.4832345914596537,0.14657745648340018,0.3536154583797737,0.11654561557319644,0.1730046665227005,0.1685907202434511,0.385360504743218,0.17394650297596917,0.5993698150117702,0.17455386330672665,0.46582484081832193,0.1459113331487093,7
0.16,0.4616613818020196,0.13865560394280715,0.515400868085519,0.12734578898367224,0.36527893078657236,0.10816076163413166,0.15713905723801355,0.17542112145417948,0.4056299974558258,0.21836716763593417,0.6100428662268851,0.19762923693564327,0.4680416503849695,0.15678223296154734,7
0.17,0.34038724914172386,0.23790662095853554,0.39166713011151083,0.22817984975148442,0.27870120966717365,0.17529969163628167,-0.08541082063783396,0.48649779137718596,0.5640326823874163,0.4853970979788049,0.6946721767803116,0.3082863237216985,0.5259029464603422,0.2288631313271084,7
0.18,0.45802508854930485,0.14440044296009405,0.4979723912462272,0.14200500392368698,0.3525586580123243,0.11844241407177557,0.08200087861900486,0.2709788811034469,0.45958908999502773,0.3199423014296606,0.639684500886146,0.24246986247349334,0.4910627653280251,0.18971605099966782,7
0.19,0.41812775976481065,0.16148593387796012,0.4845057816842134,0.15100901825173957,0.3426303500914584,0.11789760974886976,0.061483407569782066,0.3166911841049673,0.47779384448099577,0.3755847672263646,0.6476302807754404,0.26095403405135076,0.49531616822133057,0.18642959760606875,7
0.2,0.39869957046959803,0.14005961967116104,0.4871136551844738,0.12822300896432878,0.34289263496679645,0.1045900265434692,0.07287466943781515,0.15550957095651624,0.43647149961274717,0.21184814966586424,0.636720955317701,0.1903529496770099,0.4812519958943979,0.15644991056655536,7
0.21,0.4230261914840567,0.14400923601765137,0.4590219302967009,0.15437312853796298,0.32888647704021123,0.11951960965810866,0.08101266989398438,0.22384381916206963,0.45273183729788824,0.2980686925104961,0.6386687639485554,0.22870589949401096,0.4903596891667016,0.1788748140505523,7
0.22,0.3972050569294779,0.1834574692431823,0.4627772092126799,0.15448870518937663,0.3277771494231357,0.12644034223567704,0.10294034273415746,0.20886275033982077,0.4420495791200386,0.2785471779076545,0.6320836594788937,0.22272508681431327,0.47955048058847377,0.17163213637886215,7
0.23,0.3687188105834725,0.22595257005995434,0.44545179202801194,0.17550916292979563,0.3166158793265496,0.13642096111124571,-0.0602053248591066,0.5303904403380609,0.5284895172951704,0.3938591375024933,0.6786956230914039,0.28137530673526573,0.5074617104975913,0.20216269422352937,7
0.24,0.34812385936143325,0.2521252207346868,0.3792695039681619,0.2618051578161241,0.27788100622153805,0.19023213964645716,-0.015248235114750644,0.4551581856390815,0.4928379327204488,0.32197274784311497,0.6631152845968098,0.24893518714107915,0.4922251782118468,0.17923776949801457,7
0.25,0.41426340183268984,0.15470540343052883,0.45256935773674156,0.15900544040574754,0.31884730122283894,0.1289132101475036,0.045729325997364914,0.3168662611288486,0.48373385813208364,0.3863719852816503,0.6517526957440667,0.2622549561199878,0.4906817895131475,0.18784823724494917,7
0.26,0.38419146844176844,0.20574680252067548,0.447980267405089,0.17419010604491342,0.3196851922989538,0.13510358719837892,-0.15325917696580715,0.7072072823276853,0.6310979188032956,0.667031685994446,0.7151878158141141,0.37354833431126605,0.5172382656435861,0.232032714039672,7
0.27,0.4162061079208966,0.17988590023651826,0.4966200224159375,0.14220539166186255,0.3548350753038641,0.11434787499753393,0.08017660130775359,0.34244580480261805,0.4351168338852108,0.2424943957645835,0.630131020068975,0.21069809365705663,0.46796410416015416,0.15627250973515883,7
0.28,0.4600335111926722,0.1330760279337438,0.496164202372077,0.16632545153428435,0.3521980361775299,0.12301111082776217,0.15585377452711519,0.15789832001338433,0.4041641523290104,0.22015132643693805,0.6094458715157213,0.19543932312876217,0.46734071180135534,0.15323047698597017,7
0.29,0.45545297623711256,0.12276058352252617,0.4596822665382005,0.15616823751649642,0.3275288811720719,0.12418673431938058,0.16441575810975104,0.12189227634284394,0.39623915014355127,0.20251145681424418,0.6057184466934704,0.18502711258605903,0.46097157581422693,0.147980726222863,7
0.3,0.3899827996207138,0.2045715197969414,0.3927904331055702,0.22958071959518334,0.2755936581690911,0.1816228666743239,0.07994120183692932,0.2817969412337422,0.4539746315319634,0.29540510201394937,0.6380223368644921,0.23392124898405178,0.4881221913942349,0.1821984418103512,7
0.31,0.44224953220982827,0.15124727899757795,0.4843230838080507,0.1473029991946034,0.3409085307895388,0.11943923935060756,0.16226764326152826,0.16941131796667536,0.4002641327274737,0.21301143605121894,0.6069388055562813,0.19288421970261418,0.46524317613196936,0.14985204501757132,7
0.32,0.4701976676986594,0.12491867585726567,0.5053840858895857,0.13382261842513365,0.36849582623982824,0.10693136782204284,0.013253118397294514,0.5031216370807728,0.4681400882467112,0.3057434899620794,0.6475312203904002,0.23871316402222503,0.47974448065805625,0.17141137523219513,7
0.33,0.4803676554051473,0.11696172603441504,0.4894824732998729,0.13260531972101744,0.3528980609982061,0.10587143479149476,0.1349080442221465,0.22289918463244182,0.40292411084389634,0.1908558484081206,0.6117343565838029,0.18300105406448655,0.4677554043850847,0.15222022359047496,7
0.34,0.4534463122493642,0.12476561663715252,0.4729958047680641,0.14934204088438713,0.33842959035716313,0.11807115580492664,0.13037260179621576,0.21440675242930357,0.41519337216148766,0.2146691472639727,0.6178173460217329,0.1976805899311014,0.47065079026734996,0.15868459122283385,7
0.35,0.35955389716649294,0.26382108581656033,0.41190642926360777,0.2541880859487477,0.2944591973339962,0.18324387490325567,-0.030584232938005575,0.4501983115571031,0.5293103205291342,0.4407245723620901,0.6752377957290125,0.292560443395067,0.5221386392904438,0.23273703707939658,7
0.36,0.37662963271537503,0.18791421264596028,0.4432844747156005,0.16681085780432378,0.3199162379703343,0.13079289260381263,0.07546235289716852,0.2094795941996701,0.4545715713322929,0.295309903600684,0.6408705241811922,0.22619895298023182,0.4955273901125481,0.18102902519540273,7
0.37,0.46752692257674594,0.11257287055178004,0.49991082927351244,0.14224834348519502,0.3528264400571417,0.11106345806733339,0.11904335680557547,0.19865272661779432,0.43136847072146817,0.2760739224839252,0.6247602962996445,0.21882310215611006,0.47861806212630104,0.1735756907023992,7
0.38,0.3902457113832628,0.19118378465423816,0.4364241376024719,0.21119422969261717,0.3121064137957063,0.15870523108669188,-0.028775541198288353,0.4212075937714394,0.5266325760989339,0.4064306864079778,0.6766191961422976,0.2833529238055123,0.5118462814530697,0.21089156087536753,7
0.39,0.4140121408441947,0.16232352910977685,0.4582786521991143,0.15973542870297533,0.33218329357419646,0.12935187967086278,0.11720342898822396,0.18356021868656822,0.42895384519707974,0.2614801023932552,0.624737277415312,0.2123677062053306,0.4723203310942225,0.16354508121042552,7
0.4,0.359858942842682,0.2227321463758726,0.39552536866765603,0.23465250515983424,0.27760753875262,0.18592183241720153,-0.06379357938742333,0.5662531622983015,0.5704159688302696,0.5885075360283772,0.6880472610923586,0.3364145625402811,0.5336543485642499,0.26199519225578655,7
0.41,0.37391917552926995,0.2180362488344885,0.40155663263006197,0.22550843496052284,0.2819985539062158,0.1781345772947594,-0.18352015249457487,0.7193086442005416,0.6394989167684141,0.6595633551589483,0.7215165933032546,0.3724667896818364,0.5490572773268875,0.27966185420285455,7
0.42,0.3360323187332249,0.25324880937824196,0.4053810504449382,0.20932305205094037,0.28732000579136613,0.16672946778544337,-0.1384545970493442,0.5799568765564473,0.5911019512658362,0.5006575112320378,0.708770126271818,0.3217732160992871,0.5355020800100853,0.24026951649538145,7
0.43,0.38436333270460016,0.20240992625068485,0.4171307088980659,0.22595123145025844,0.2949197959899995,0.17253905911261702,0.05219640059107041,0.34415338576535426,0.4560853105699868,0.27221549967135944,0.6424307625467245,0.2249356135005994,0.49110358239784707,0.1833190667837649,7
0.44,0.3887853474946705,0.15604059369042328,0.45105588445826295,0.14790154584996804,0.3241126194299832,0.11427728648341826,0.07574131237876279,0.1870109996256083,0.4436991907383105,0.2460017280651001,0.6379896986075606,0.206832599970206,0.48332246410733937,0.16007164652310327,7
0.45,0.4718735611012997,0.13256195256254832,0.5123787486446905,0.143317087143246,0.3641220897128608,0.11758350526401228,0.16561377589773277,0.18803720080278,0.394044145481475,0.18917968845327507,0.6039713049151224,0.18476997332006898,0.4584383039604392,0.14682378759245868,7
0.46,0.3997371201494565,0.17970846053902684,0.45831234378884356,0.1662182726975962,0.32812249448760744,0.13292332502210974,0.005588267397619052,0.33576177580673094,0.4986129787092132,0.3522305818640615,0.6646386703870867,0.2575781162246678,0.4937357089578414,0.1798948821153292,7
0.47,0.3979932208900824,0.2137061773600485,0.4567078683605142,0.17210190469530073,0.31921153531640895,0.14718557884649539,-0.01916798166677106,0.5706719244288785,0.5489044683274311,0.5824742183292481,0.6727267909826254,0.3352615722963068,0.5154328982124328,0.25602571926695045,7
