scenario,fraction,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std,kendall_tau_mean,kendall_tau_std,r2_mean,r2_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,n_points
cliffs,0.0,0.5515203579343849,0.15560069666151488,0.5537040254518425,0.1629355691156651,0.40089355162080104,0.14327688724440638,0.3108078762787517,0.20569170117653865,0.341770139742738,0.1837376643037797,0.5554325262531664,0.1969999744751863,0.42349397986501003,0.14769468103146174,7
cliffs,0.01,0.4940461954599818,0.19808151136763721,0.5096615208574369,0.17622736854218157,0.36785796365092266,0.15380893388146505,0.2557392667601533,0.24916550556732966,0.38074313817295363,0.2521206112739871,0.5799459858208277,0.2276109772992924,0.44727933710740553,0.173484914314417,7
cliffs,0.02,0.473378631965054,0.19308822889052585,0.49957448905776564,0.17955611052592163,0.35971973453258743,0.1535848934029942,0.23151371964425,0.23298513624791348,0.38616230341174734,0.23382548713089255,0.5877855533347542,0.21782757971957584,0.45310687205329153,0.16963500350298863,7
cliffs,0.03,0.5016384852592431,0.16751599215699212,0.5257675634324369,0.1845307006254384,0.3811097821070223,0.15347277996861913,0.24797603514780256,0.2085714715404852,0.36896111473236687,0.1909783546909093,0.579085868170871,0.198050794881889,0.4397563909466878,0.14886730734011008,7
cliffs,0.04,0.4662632085292965,0.1917716118286949,0.48736465069662793,0.18022175249258418,0.3504258307328927,0.14859584450804778,0.21612294630621848,0.23913989336773384,0.3967472944112636,0.2631655823340658,0.5940021066919071,0.2263336554727258,0.4577089992081122,0.1694149256002888,7
cliffs,0.05,0.41544886556247546,0.23312536354590097,0.4605738105536852,0.19182644432746795,0.3297251740711764,0.16148771403417037,0.07765360208828839,0.4019806019901113,0.4883203247958371,0.41433124985667663,0.6459332113482039,0.2879914000199296,0.4928363034237235,0.21073692783480028,7
cliffs,0.06,0.42467697566452406,0.18115834597519642,0.45758454211189853,0.19428744165381254,0.32233076999454324,0.15598998990885113,0.10705061421983741,0.2850911460251261,0.45368740616819964,0.30853613094401594,0.6340465861778084,0.24552879297252367,0.49271186287468005,0.1969428712934949,7
cliffs,0.07,0.474438014145329,0.15660608693033504,0.49571132912314475,0.16961055787289564,0.3546442159252818,0.13505183736382978,0.16856942847364006,0.261954781144171,0.4240853444242849,0.29965825717815675,0.6121734376659907,0.23989691761373183,0.4742874624378651,0.185356070523638,7
cliffs,0.08,0.44662292532142367,0.1624020077419154,0.4691808143982006,0.16471299649521506,0.3296333425621996,0.1394954165718155,0.1596754502795226,0.22354907957111464,0.4168415102224688,0.25658883558133955,0.612770727225872,0.21964927442888488,0.4731399320489783,0.1707292788315781,7
cliffs,0.09,0.46602386108339744,0.1689205223652526,0.4922248309415856,0.21451581648695991,0.35525145876360115,0.16711170504849732,0.1448664064458885,0.2846592432516199,0.4087650895130338,0.21292037095938532,0.6112860162284844,0.20234519644071944,0.4640744774295314,0.1610828051174983,7
cliffs,0.1,0.4151706262419364,0.15345185499529254,0.46306284664279534,0.1516200522447567,0.33045213660348205,0.12622648283438484,0.1389789172939119,0.16515969775598416,0.41514304131412766,0.22246294230371644,0.6173376277346192,0.19927412563260807,0.47555617210855194,0.16354185095942886,7
cliffs,0.11,0.3367153883355206,0.2426335582130296,0.389282458312648,0.25687675055411,0.27136463294588853,0.20315254929205434,-0.06426520541142085,0.5382718608154542,0.5688407215099861,0.5599951832314406,0.6900078357815687,0.3289147195677914,0.5216075947548134,0.2368227433640031,7
cliffs,0.12,0.3866970895236919,0.2010533033881787,0.412111086254054,0.22141216740675945,0.29408091168077294,0.17312435716471974,0.08017473761532047,0.30218933774521767,0.46791856300729723,0.3553590992918627,0.641838875151426,0.25551580168407895,0.49425410728406416,0.19986675805789048,7
cliffs,0.13,0.38421561335097687,0.21364518846261601,0.4428743058855126,0.1739815729780342,0.3201305276184602,0.13217794861757,0.03732654279536799,0.3698475296761963,0.4952892145553153,0.41786577431915634,0.6551566498076223,0.27761269524800636,0.4829318989712609,0.18950019908776403,7
cliffs,0.14,0.44376122267054424,0.12839682008349249,0.46510165490010424,0.14857333841992285,0.3328098603004634,0.11835397044043114,0.07330426577102937,0.2776160541514843,0.44984212473371704,0.2675211646752043,0.6384349994293194,0.22199854866710814,0.4834497127342474,0.17132921529859688,7
