fraction,pearson_r_mean,pearson_r_std,n_points
0.0,0.5515203579343848,0.15560069666151494,7
0.0001,0.5435040697066184,0.15863096396581278,7
0.000109749877,0.5292218665575008,0.16944611561199494,7
0.000120450354,0.47910600701925,0.2245699088885712,7
0.000132194115,0.5509516851731597,0.1580414985934751,7
0.000145082878,0.5093444346455657,0.1872270912658184,7
0.000159228279,0.5382105055531593,0.16256440754773302,7
0.00017475284,0.5067821964964628,0.18852945881814165,7
0.000191791026,0.5511102980883008,0.1585861326902981,7
0.000210490414,0.5072912460064756,0.19442172495169457,7
0.00023101297,0.5597976940659368,0.15280827751998546,7
0.000253536449,0.5192785492749689,0.17707954493455272,7
0.00027825594,0.5111676773805881,0.1828735805397239,7
0.000305385551,0.5303920365584894,0.17706040804137452,7
0.000335160265,0.5477646668718731,0.15937445715333332,7
0.000367837977,0.5462226970322803,0.1582476010411134,7
0.000403701726,0.5142115677172133,0.1812866846743489,7
0.000443062146,0.5226905380613243,0.18040703894763166,7
0.000486260158,0.552000612413842,0.18689452430510026,7
0.000533669923,0.5492805263336158,0.15558742056649313,7
0.000585702082,0.5335770680051751,0.1627973746096761,7
0.000642807312,0.5476814624596458,0.15557443188865552,7
0.000705480231,0.5654737337420206,0.15860643945357514,7
0.000774263683,0.5114502339837229,0.18491854923779869,7
0.000849753436,0.49368035551046435,0.1999256976726146,7
0.000932603347,0.48505449625343383,0.21661412512142458,7
0.001023531022,0.5358578276185227,0.16078304105299568,7
0.001123324033,0.5520722534145628,0.1538078713298958,7
0.001232846739,0.5261212757907939,0.1785121298555432,7
0.001353047775,0.5459773430791098,0.15639821465511683,7
0.001484968262,0.5219248703383987,0.18321890222523035,7
0.001629750835,0.5299535834423567,0.17437620768618364,7
0.001788649529,0.5395112753701582,0.1597000694958096,7
0.00196304065,0.5245613529764902,0.16883167375283342,7
0.00215443469,0.5440845143776573,0.16412082992500243,7
0.002364489413,0.519725004741581,0.19168553015168632,7
0.002595024211,0.5313281174459297,0.16345696487457123,7
0.002848035868,0.5093519788494346,0.19256478109287778,7
0.00312571585,0.5443642763604408,0.15554038148201516,7
0.003430469286,0.5311267615557878,0.17245377038048604,7
0.003764935807,0.5638625605977957,0.15311751110268296,7
0.0041320124,0.5378630427002961,0.1589625781151725,7
0.004534878508,0.5027521274566036,0.18689037281515963,7
0.004977023564,0.5453508812878249,0.15449249153846595,7
0.005462277218,0.5137752560422321,0.17591989665166255,7
0.005994842503,0.4887257529487073,0.2015694404299465,7
0.006579332247,0.5445451786096239,0.153791897564884,7
0.007220809018,0.5451688620210109,0.153532153019936,7
0.007924828984,0.5481049250414352,0.15246593752671558,7
0.008697490026,0.5277417574712807,0.16353980135151824,7
0.009545484567,0.5374587342182146,0.15567973660308046,7
0.010476157528,0.5167225276624169,0.17520744436873714,7
0.011497569954,0.516536760552882,0.16452188230230227,7
0.012618568831,0.5189212758564997,0.1693999376311481,7
0.013848863714,0.4963404895928846,0.19417714297462926,7
0.01519911083,0.5215237816402295,0.16774262331381803,7
0.016681005372,0.5170416734470447,0.1663276171980557,7
0.018307382803,0.5180463275887868,0.15737704691892948,7
0.020092330026,0.5336255600656512,0.16481153466027434,7
0.022051307399,0.5223414169749795,0.1554516290450845,7
0.024201282648,0.4893961278278929,0.183497248479756,7
0.026560877829,0.538659721373446,0.15448373602558496,7
0.029150530628,0.5340857085071663,0.16408968981610023,7
0.031992671378,0.49440051550924863,0.17707680620908564,7
0.035111917342,0.46761334039361496,0.17808112308204974,7
0.038535285937,0.49529950899746694,0.15132506864525355,7
0.042292428744,0.4443320660770334,0.20347120292028534,7
0.046415888336,0.44432143684114667,0.21508947112812185,7
0.050941380148,0.47462366464151773,0.159795498545544,7
0.055908101825,0.4938127049828817,0.15827342997195695,7
0.061359072734,0.3967215023288389,0.2672404954086941,7
0.067341506578,0.5164904462874019,0.15173240481008693,7
0.073907220335,0.5039504031853925,0.12552166783332094,7
0.081113083079,0.480296405042286,0.13255432496973288,7
0.089021508545,0.4600430761618691,0.13230755784620113,7
0.09770099573,0.39953349028048724,0.22230028015581493,7
0.107226722201,0.4486665254965768,0.13348984756492868,7
0.117681195243,0.4649190826117772,0.14746678139551808,7
0.129154966501,0.46184454486590754,0.11426440469498433,7
0.141747416293,0.43899260429655623,0.1373676682431324,7
0.155567614393,0.3546753008385467,0.24425399032992565,7
0.170735264747,0.4713631536127963,0.09106084000462292,7
0.187381742286,0.4248408989407272,0.15230552567077335,7
0.205651230835,0.4482282688642539,0.11926034583522732,7
0.225701971963,0.49321113204093997,0.06616551610438616,7
0.247707635599,0.3856523310115936,0.27159856426949736,7
0.271858824273,0.4382310607377648,0.10870661653821136,7
0.298364724028,0.44306382938079825,0.14348984493897726,7
0.327454916288,0.34796983330644865,0.250338367293904,7
0.35938136638,0.4535127095561304,0.08227913545544649,7
0.394420605944,0.43705776592624523,0.11015143139692396,7
0.432876128108,0.4308464604135137,0.1914023101470633,7
0.47508101621,0.4445754159246267,0.0768725095940822,7
0.5214008288,0.46144628709973806,0.07514658117956341,7
0.572236765935,0.4261647634030453,0.12359627910195985,7
0.628029144183,0.4885131435347908,0.09914714004269563,7
0.689261210435,0.4258318951869192,0.12078336789380716,7
0.756463327555,0.5290683814117676,0.04081738173439824,7
0.830217568132,0.44766505377475846,0.07343374997047701,7
0.911162756115,0.4920858907381077,0.06230344903244728,7
1.0,0.42816433232590484,0.14037951249749886,7
