mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
conflict_curve,0.0,0.06706666666666666,0.06666666666666665,-0.8666666666666666,0.7333333333333333
conflict_curve,0.05,0.059333333333333335,0.06666666666666665,-0.7333333333333333,0.7333333333333333
conflict_curve,0.1,0.06333333333333334,0.06666666666666665,-0.8666666666666666,0.7333333333333333
conflict_curve,0.25,0.07386666666666666,0.06666666666666665,-0.7333333333333333,0.7333333333333333
conflict_curve,0.5,0.05826666666666666,0.06666666666666665,-0.8666666666666666,0.7333333333333333
conflict_curve,0.75,-0.33333333333333326,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333
conflict_curve,observed,0.06359999999999999,0.06666666666666665,-0.7366666666666665,0.7333333333333333
leakage_curve,0.0,0.8379999999999999,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,0.05,0.8252,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,0.1,0.8331999999999999,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,0.25,0.8149333333333333,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,0.5,0.7701333333333332,0.7333333333333333,0.3333333333333333,0.9999999999999999
leakage_curve,0.75,0.6953333333333332,0.7333333333333333,0.3333333333333333,0.9999999999999999
leakage_curve,observed,0.8201333333333332,0.8666666666666666,0.4666666666666666,0.9999999999999999
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.4954666666666666,0.6,-0.4666666666666666,0.9999999999999999
random_matched_control,0.05,0.49273333333333325,0.6,-0.4666666666666666,0.9999999999999999
random_matched_control,0.1,0.5072666666666666,0.6,-0.4666666666666666,0.9999999999999999
random_matched_control,0.25,0.5002666666666666,0.6,-0.4666666666666666,0.9999999999999999
random_matched_control,0.5,0.5033333333333333,0.6,-0.4666666666666666,0.9999999999999999
random_matched_control,0.75,0.5039333333333332,0.6,-0.4666666666666666,0.9999999999999999
random_matched_control,observed,0.4879333333333333,0.6,-0.4666666666666666,0.9999999999999999
