model,n,score,rank
ecfp_rf,235,48.76932024258618,1.0
lgbm_basic,235,50.44754486055108,2.0
lgbm_advanced,235,50.935324269705454,3.0
torch_mlp_advanced,235,54.75172640281035,4.0
torch_mlp_basic,235,57.55649817272213,5.0
ecfp_linear,235,69.59660801766638,6.0
