dataset,family,task,metric,count,fraction
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,exact_test_leaks,0.0,0.0
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,near_train_analogues,4.0,0.0300751879699248
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,same_scaffold_test,,
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,audit_clean_test,,
tdc/CYP2D6_Veith,tdc,classification,rows_test,2626.0,0.2000457073207892
tdc/CYP2D6_Veith,tdc,classification,test_label_conflicts,3.0,0.0011424219345011
tdc/CYP2D6_Veith,tdc,classification,exact_test_leaks,18.0,0.0068545316070068
tdc/CYP2D6_Veith,tdc,classification,near_train_analogues,244.0,0.0929169840060929
tdc/CYP2D6_Veith,tdc,classification,same_scaffold_test,,
tdc/CYP2D6_Veith,tdc,classification,audit_clean_test,,
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,rows_test,134.0,0.2
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,test_label_conflicts,0.0,0.0
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,exact_test_leaks,1.0,0.0074626865671641
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,near_train_analogues,4.0,0.0298507462686567
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,same_scaffold_test,,
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,audit_clean_test,,
tdc/CYP3A4_Veith,tdc,classification,rows_test,2464.0,0.1999350860110353
tdc/CYP3A4_Veith,tdc,classification,test_label_conflicts,0.0,0.0
tdc/CYP3A4_Veith,tdc,classification,exact_test_leaks,22.0,0.0089285714285714
tdc/CYP3A4_Veith,tdc,classification,near_train_analogues,180.0,0.073051948051948
tdc/CYP3A4_Veith,tdc,classification,same_scaffold_test,,
tdc/CYP3A4_Veith,tdc,classification,audit_clean_test,,
tdc/Caco2_Wang,tdc,regression,rows_test,182.0,0.2017738359201774
tdc/Caco2_Wang,tdc,regression,test_label_conflicts,4.0,0.0219780219780219
tdc/Caco2_Wang,tdc,regression,exact_test_leaks,21.0,0.1153846153846153
tdc/Caco2_Wang,tdc,regression,near_train_analogues,42.0,0.2307692307692307
tdc/Caco2_Wang,tdc,regression,same_scaffold_test,,
tdc/Caco2_Wang,tdc,regression,audit_clean_test,,
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rows_test,235.0,0.21190261496844
tdc/Clearance_Hepatocyte_AZ,tdc,regression,test_label_conflicts,56.0,0.2382978723404255
tdc/Clearance_Hepatocyte_AZ,tdc,regression,exact_test_leaks,55.0,0.2340425531914893
tdc/Clearance_Hepatocyte_AZ,tdc,regression,near_train_analogues,74.0,0.3148936170212766
tdc/Clearance_Hepatocyte_AZ,tdc,regression,same_scaffold_test,,
tdc/Clearance_Hepatocyte_AZ,tdc,regression,audit_clean_test,,
tdc/Clearance_Microsome_AZ,tdc,regression,rows_test,220.0,0.1996370235934664
tdc/Clearance_Microsome_AZ,tdc,regression,test_label_conflicts,2.0,0.009090909090909
tdc/Clearance_Microsome_AZ,tdc,regression,exact_test_leaks,1.0,0.0045454545454545
tdc/Clearance_Microsome_AZ,tdc,regression,near_train_analogues,18.0,0.0818181818181818
tdc/Clearance_Microsome_AZ,tdc,regression,same_scaffold_test,,
tdc/Clearance_Microsome_AZ,tdc,regression,audit_clean_test,,
tdc/HIA_Hou,tdc,classification,rows_test,116.0,0.2006920415224913
tdc/HIA_Hou,tdc,classification,test_label_conflicts,0.0,0.0
tdc/HIA_Hou,tdc,classification,exact_test_leaks,0.0,0.0
tdc/HIA_Hou,tdc,classification,near_train_analogues,1.0,0.0086206896551724
tdc/HIA_Hou,tdc,classification,same_scaffold_test,,
tdc/HIA_Hou,tdc,classification,audit_clean_test,,
tdc/Half_Life_Obach,tdc,regression,rows_test,133.0,0.1994002998500749
tdc/Half_Life_Obach,tdc,regression,test_label_conflicts,2.0,0.0150375939849624
tdc/Half_Life_Obach,tdc,regression,exact_test_leaks,2.0,0.0150375939849624
tdc/Half_Life_Obach,tdc,regression,near_train_analogues,6.0,0.0451127819548872
tdc/Half_Life_Obach,tdc,regression,same_scaffold_test,,
tdc/Half_Life_Obach,tdc,regression,audit_clean_test,,
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rows_test,128.0,0.1993769470404984
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,test_label_conflicts,0.0,0.0
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,exact_test_leaks,0.0,0.0
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,near_train_analogues,12.0,0.09375
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,same_scaffold_test,,
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,audit_clean_test,,
tdc/Lipophilicity_AstraZeneca,tdc,regression,rows_test,840.0,0.2
tdc/Lipophilicity_AstraZeneca,tdc,regression,test_label_conflicts,1.0,0.0011904761904761
tdc/Lipophilicity_AstraZeneca,tdc,regression,exact_test_leaks,4.0,0.0047619047619047
tdc/Lipophilicity_AstraZeneca,tdc,regression,near_train_analogues,101.0,0.1202380952380952
tdc/Lipophilicity_AstraZeneca,tdc,regression,same_scaffold_test,,
tdc/Lipophilicity_AstraZeneca,tdc,regression,audit_clean_test,,
tdc/PAMPA_NCATS,tdc,classification,rows_test,407.0,0.2000983284169125
tdc/PAMPA_NCATS,tdc,classification,test_label_conflicts,0.0,0.0
tdc/PAMPA_NCATS,tdc,classification,exact_test_leaks,0.0,0.0
tdc/PAMPA_NCATS,tdc,classification,near_train_analogues,17.0,0.0417690417690417
tdc/PAMPA_NCATS,tdc,classification,same_scaffold_test,,
tdc/PAMPA_NCATS,tdc,classification,audit_clean_test,,
tdc/PPBR_AZ,tdc,regression,rows_test,323.0,0.2001239157372986
tdc/PPBR_AZ,tdc,regression,test_label_conflicts,1.0,0.0030959752321981
tdc/PPBR_AZ,tdc,regression,exact_test_leaks,2.0,0.0061919504643962
tdc/PPBR_AZ,tdc,regression,near_train_analogues,37.0,0.1145510835913312
tdc/PPBR_AZ,tdc,regression,same_scaffold_test,,
tdc/PPBR_AZ,tdc,regression,audit_clean_test,,
tdc/Pgp_Broccatelli,tdc,classification,rows_test,244.0,0.200493015612161
tdc/Pgp_Broccatelli,tdc,classification,test_label_conflicts,0.0,0.0
tdc/Pgp_Broccatelli,tdc,classification,exact_test_leaks,3.0,0.0122950819672131
tdc/Pgp_Broccatelli,tdc,classification,near_train_analogues,43.0,0.1762295081967213
tdc/Pgp_Broccatelli,tdc,classification,same_scaffold_test,,
tdc/Pgp_Broccatelli,tdc,classification,audit_clean_test,,
tdc/Solubility_AqSolDB,tdc,regression,rows_test,1996.0,0.2000200420883856
tdc/Solubility_AqSolDB,tdc,regression,test_label_conflicts,116.0,0.0581162324649298
tdc/Solubility_AqSolDB,tdc,regression,exact_test_leaks,162.0,0.0811623246492986
tdc/Solubility_AqSolDB,tdc,regression,near_train_analogues,375.0,0.187875751503006
tdc/Solubility_AqSolDB,tdc,regression,same_scaffold_test,,
tdc/Solubility_AqSolDB,tdc,regression,audit_clean_test,,
tdc/VDss_Lombardo,tdc,regression,rows_test,215.0,0.1961678832116788
tdc/VDss_Lombardo,tdc,regression,test_label_conflicts,3.0,0.013953488372093
tdc/VDss_Lombardo,tdc,regression,exact_test_leaks,7.0,0.0325581395348837
tdc/VDss_Lombardo,tdc,regression,near_train_analogues,12.0,0.055813953488372
tdc/VDss_Lombardo,tdc,regression,same_scaffold_test,,
tdc/VDss_Lombardo,tdc,regression,audit_clean_test,,
