mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975,dataset,family,task,metric_name,sota_model
random_matched_control,0.75,ecfp_linear,0.037,5.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,0.75,ecfp_rf,0.074,3.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,0.75,lgbm_advanced,0.57,1.0,1.0,4.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,0.75,lgbm_basic,0.178,2.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,0.75,torch_mlp_advanced,0.065,4.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,0.75,torch_mlp_basic,0.031,5.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,observed,ecfp_linear,0.037,5.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,observed,ecfp_rf,0.083,3.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,observed,lgbm_advanced,0.56,1.0,1.0,4.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,observed,lgbm_basic,0.148,2.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,observed,torch_mlp_advanced,0.07,4.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,observed,torch_mlp_basic,0.046,5.0,1.0,6.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
clean_reference,0.0,ecfp_rf,1.0,1.0,1.0,1.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
clean_reference,0.0,lgbm_advanced,0.0,2.0,2.0,2.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
clean_reference,0.0,lgbm_basic,0.0,3.0,3.0,3.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.0,ecfp_linear,0.006,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.0,ecfp_rf,0.053,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
