mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive,dataset,family,task,metric_name,sota_model,baseline_model
conflict_curve,observed,0.011,0.0,-0.5,0.5,0.076,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.0,0.0164992907801418,0.016176967240797,-0.0050700776764606,0.0386068895643363,0.942,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.05,0.0144416117862719,0.0142406137551768,-0.0061791363975831,0.03588498879761,0.907,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.1,0.0132663058278867,0.0130038126361655,-0.0061674496187364,0.0354098583877997,0.892,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.25,0.0095016951497958,0.0094444060056735,-0.00806839410503,0.0266865010724416,0.856,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.5,0.0064591484464902,0.0066168009205984,-0.0073360184119676,0.019888161680092,0.835,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.75,0.006135412718866,0.0063291139240506,-0.001782195103464,0.0131916546653529,0.934,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,observed,0.0141653540634123,0.0143254803448978,-0.0054662570439268,0.0347282571797136,0.914,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
observed_composition,observed,0.0077716167701108,0.0077716167701108,0.0077716167701108,0.0077716167701108,1.0,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.0,0.0106362400530504,0.0,-0.0097496684350132,0.5,0.4295,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.05,0.0076535643236074,0.0,-0.0143252652519893,0.5,0.4305,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.1,0.009222198275862,0.0,-0.0102196618037134,0.5,0.445,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.25,0.005719147877984,0.0,-0.0127403846153846,0.5,0.434,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.5,0.0068275033156498,0.0,-0.0183413461538459,0.5,0.445,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.75,0.0098550895225464,0.0,-0.0106589854111405,0.5,0.449,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,observed,0.0082104277188329,0.0,-0.0120424403183023,0.5,0.4295,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
clean_reference,0.0,-0.0024323053147887,-0.0024323053147887,-0.0024323053147887,-0.0024323053147887,0.0,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.0,0.001625,0.0,-0.5,0.25,0.145,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.05,-0.008125,0.0,-0.25,0.25,0.13,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.1,-0.0015,0.0,-0.25,0.25,0.146,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.25,0.03,0.0,-0.3333333333333333,0.3333333333333333,0.205,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.5,0.1085,0.0,-0.25,0.5,0.422,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.75,0.1136666666666666,0.0,0.0,0.3333333333333333,0.345,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,observed,-0.001625,0.0,-0.5,0.3781249999999971,0.136,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.0,-0.0022449220713926,-0.0026269482151834,-0.0260005027652085,0.0205982905982906,0.419,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.05,-0.0009352649504157,-0.0008639687468698,-0.0225007512771711,0.0200403185415205,0.467,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.1,-0.0007326836581709,-0.0005997001499251,-0.0232202648675661,0.0199650174912543,0.477,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.25,0.0028004511278195,0.0024937343358396,-0.0168427318295739,0.0219078947368421,0.601,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.5,0.0073548868636078,0.0074245757385293,-0.0084610046092604,0.0217119736015084,0.829,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.75,0.0102930975274725,0.0106599130036629,0.0006546188186813,0.0187728937728937,0.981,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,observed,-0.0002815218478152,0.0001499850014999,-0.0232233026697331,0.0214759774022597,0.506,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
observed_composition,observed,0.0047684163538858,0.0047684163538858,0.0047684163538858,0.0047684163538858,1.0,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.0,0.0028432629462041,0.0,-0.25,0.25,0.3955,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.05,0.0043971970839617,0.0,-0.25,0.25,0.403,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.1,0.0056794306184012,0.0,-0.25,0.25,0.416,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.25,0.0015363310708898,0.0,-0.25,0.25,0.4015,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.5,0.0041212481146304,0.0,-0.25,0.25,0.3995,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.75,0.0082392848164906,0.0,-0.25,0.25,0.406,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,observed,0.0041456699346405,0.0,-0.25,0.25,0.4085,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
clean_reference,0.0,0.0282939189189188,0.0282939189189188,0.0282939189189188,0.0282939189189188,1.0,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.0,0.0378333333333333,0.0,-0.5,0.5020833333333315,0.411,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.05,0.0413333333333333,0.0,-0.5000000000000001,0.5000000000000001,0.411,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.1,-0.0009166666666666,0.0,-0.6666666666666666,0.5,0.357,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.25,-0.0145,0.0,-0.6666666666666666,0.3333333333333333,0.313,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.5,-0.1187,-0.0999999999999999,-0.45,0.1499999999999999,0.159,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.75,-0.2078333333333333,-0.25,-0.4166666666666667,0.0833333333333333,0.044,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,observed,0.0309166666666666,0.0,-0.6666666666666666,0.5000000000000001,0.391,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
observed_composition,observed,0.0607476635514018,0.0607476635514018,0.0607476635514018,0.0607476635514018,1.0,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.0,0.0610833333333333,0.0,-0.5,0.8333333333333334,0.41,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.05,0.0526666666666666,0.0,-0.5,0.6666666666666667,0.37,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.1,0.058,0.0,-0.6666666666666666,0.8333333333333334,0.402,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.25,0.0674166666666666,0.0,-0.5020833333333333,0.8333333333333334,0.4,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.5,0.07425,0.0,-0.5,0.6666666666666667,0.426,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.75,0.0620833333333333,0.0,-0.5854166666666666,0.6666666666666667,0.428,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,observed,0.0605,0.0,-0.6666666666666666,0.6687499999999982,0.411,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,ecfp_rf
clean_reference,0.0,0.0137834463677161,0.0137834463677161,0.0137834463677161,0.0137834463677161,1.0,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.0,0.01675,0.0,-0.25,0.25,0.334,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.05,0.0134166666666666,0.0,-0.1666666666666667,0.25,0.308,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.1,0.06265,2.775557561562892e-17,-0.2,0.4,0.5,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.25,0.1147,0.0999999999999999,-0.2,0.4,0.662,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.5,0.1871999999999999,0.1999999999999999,-0.0999999999999999,0.3999999999999999,0.861,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.75,0.15355,0.2,-0.0999999999999999,0.3999999999999999,0.764,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,observed,0.0145416666666666,0.0,-0.1666666666666667,0.25,0.329,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.0,0.0132313474107591,0.0135746606334842,-0.0090805681246857,0.0350553041729512,0.877,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.05,0.0121960072595281,0.0120488001613228,-0.0088803186126234,0.0338280147207099,0.88,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.1,0.0117848331648129,0.0119817997977754,-0.007693377148635,0.0308670374115268,0.881,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.25,0.0095278571428571,0.0094642857142858,-0.0069974489795917,0.0276823979591836,0.867,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.5,0.0064782191069574,0.0067367601246104,-0.0059715732087228,0.0188492990654204,0.829,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.75,0.0047861420243773,0.0049019607843137,-0.0035241123476418,0.0119250132485426,0.869,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,observed,0.0124461324570272,0.012664307381193,-0.0076169110212335,0.0321543225480283,0.887,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
observed_composition,observed,0.0105937538991245,0.0105937538991245,0.0105937538991245,0.0105937538991245,1.0,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.0,0.0114135648399348,0.0039473684210526,-0.15,0.1999999999999999,0.559,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.05,0.0129179734129137,0.0032555615843732,-0.1,0.1999999999999999,0.548,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.1,0.0148246473141616,0.0043543136190991,-0.1,0.2,0.561,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.25,0.0098208220293,0.0037167661421594,-0.1999999999999999,0.1999999999999999,0.5515,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.5,0.0111169289202387,0.0037303309820944,-0.1512499999999999,0.1999999999999999,0.556,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.75,0.0092503798155181,0.0038117200217037,-0.1999999999999999,0.1999999999999999,0.5485,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,observed,0.0119899077590884,0.004137276180141,-0.1,0.2,0.562,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
clean_reference,0.0,0.0607843137254902,0.0607843137254902,0.0607843137254902,0.0607843137254902,1.0,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
leakage_curve,0.0,0.0691,0.0,-0.4,0.6000000000000001,0.41,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
leakage_curve,0.05,0.0576999999999999,0.0,-0.6,0.6000000000000001,0.38,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
leakage_curve,0.1,0.0525999999999999,0.0,-0.4049999999999997,0.6000000000000001,0.403,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
leakage_curve,0.25,0.0545999999999999,0.0,-0.4,0.6000000000000001,0.411,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
leakage_curve,0.5,0.0521999999999999,0.0,-0.4,0.6,0.44,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
leakage_curve,0.75,,,,,0.0,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
leakage_curve,observed,0.0603,0.0,-0.4,0.6000000000000001,0.394,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
observed_composition,observed,0.0328905755850725,0.0328905755850725,0.0328905755850725,0.0328905755850725,1.0,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
random_matched_control,0.0,0.0475,0.0,-0.4,0.6,0.323,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
random_matched_control,0.05,0.032,0.0,-0.4,0.6,0.31,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
random_matched_control,0.1,0.0407,0.0,-0.4,0.6,0.313,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
random_matched_control,0.25,0.0243,0.0,-0.4,0.6,0.288,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
random_matched_control,0.5,0.0415,0.0,-0.4,0.6,0.329,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
random_matched_control,0.75,0.0239,0.0,-0.6,0.6,0.292,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
random_matched_control,observed,0.0296,0.0,-0.4,0.5024999999999977,0.299,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,ecfp_rf
clean_reference,0.0,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
conflict_curve,0.0,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
conflict_curve,0.05,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
conflict_curve,0.1,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
conflict_curve,0.25,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
conflict_curve,0.5,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
conflict_curve,0.75,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
conflict_curve,observed,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.0,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.05,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.1,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.25,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.5,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.75,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,observed,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
observed_composition,observed,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.0,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.05,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.1,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.25,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.5,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.75,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,observed,0.0,0.0,0.0,0.0,0.0,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,ecfp_rf
clean_reference,0.0,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.0,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.05,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.1,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.25,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.5,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,0.75,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
leakage_curve,observed,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
observed_composition,observed,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.0,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.05,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.1,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.25,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.5,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,0.75,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
random_matched_control,observed,0.0,0.0,0.0,0.0,0.0,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,ecfp_rf
clean_reference,0.0,0.0107201892134278,0.0107201892134278,0.0107201892134278,0.0107201892134278,1.0,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.0,0.0104851888597547,0.0106122882857346,-0.0149971653320103,0.03448107859117,0.79,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.05,0.0100579044117647,0.0097567873303168,-0.0134703761312218,0.0352154623868778,0.792,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.1,0.0101460504083356,0.0094691636158827,-0.0115495635032384,0.0334087228949591,0.818,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.25,0.0081229777995658,0.0080888017368164,-0.0111352335597729,0.0282635338609145,0.798,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.5,0.0062675090504037,0.0066137566137566,-0.0076232247284878,0.0194714216095795,0.826,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.75,0.0043883255781651,0.0044447531078547,-0.0031269532606431,0.0109391277172025,0.896,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,observed,0.0095722398589065,0.0096296296296296,-0.0126005291005291,0.0317495590828926,0.788,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
observed_composition,observed,0.0099417605603165,0.0099417605603165,0.0099417605603165,0.0099417605603165,1.0,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.0,0.0101921341070277,0.0100831005086323,-0.0115713876352174,0.0311626907371587,0.828,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.05,0.0096006877283473,0.0095279031449244,-0.0103911454975283,0.0316641593237337,0.82,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.1,0.0097049573751701,0.0093488072211477,-0.0102487642381259,0.0307024142130525,0.82,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.25,0.009722544594885,0.0098144566229672,-0.0108550039401103,0.0294791890536569,0.837,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.5,0.0096289490651192,0.0097965470305896,-0.0106544165054802,0.0303755641521598,0.81,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.75,0.010147145210975,0.0100651909162547,-0.0109248513503833,0.0323106956085679,0.831,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,observed,0.0101227165269718,0.0102442868400314,-0.0098592306039114,0.0308080808080808,0.824,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
clean_reference,0.0,0.0152819052537559,0.0152819052537559,0.0152819052537559,0.0152819052537559,1.0,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
conflict_curve,0.0,0.0472545430962188,0.0451145717298858,-0.1541354619194848,0.2619378028632714,0.644,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
conflict_curve,0.05,0.0365536113567317,0.0277054982339514,-0.1675634440227394,0.278702227188531,0.598,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
conflict_curve,0.1,0.0108475533543155,0.0025088906984746,-0.1802797783724279,0.2354429705252371,0.51,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
conflict_curve,0.25,0.0148942807127831,0.0069864787788198,-0.1773281921725089,0.2509222385012852,0.525,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
conflict_curve,0.5,0.0140533874037937,0.0053809837183446,-0.1602390287053952,0.2065112814943278,0.532,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
conflict_curve,0.75,0.0522252240106909,0.0445875999169559,-0.0975946353191798,0.1964192758788597,0.873,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
conflict_curve,observed,0.0404143315714033,0.0366107492401093,-0.1703183294048569,0.2671919333951573,0.629,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.0,0.0163952238519994,0.0163455732153036,-0.0343645690557394,0.0687397617091464,0.725,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.05,0.015781993517162,0.0157840073695523,-0.0391815599491014,0.0696888744783672,0.721,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,ecfp_rf
