mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive,dataset,family,task,metric_name,sota_model,baseline_model
leakage_curve,0.05,0.070677065204655,0.0622308213218959,-0.122953114999216,0.3011974000430699,0.707,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.1,0.0600787289954333,0.0550137468101614,-0.1580315683523395,0.2819461933307789,0.662,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.25,0.0792650624392779,0.0715295935591089,-0.145438968904576,0.3227731331447856,0.738,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.5,0.0989606448405547,0.0918077609739007,-0.1223070008267057,0.3301981241930762,0.82,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.75,0.1396893202060467,0.1296204296491097,0.0499794277216413,0.3195918472404263,1.0,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,observed,0.0563570158812276,0.0507302633800647,-0.1420038803236331,0.2791575883800086,0.685,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
observed_composition,observed,0.0555637663493234,0.0555637663493234,0.0555637663493234,0.0555637663493234,1.0,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.0,0.0519245410835105,0.0470877173509131,-0.2000542394370593,0.3388764410725501,0.634,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.05,0.0542892766042082,0.0446205895288173,-0.1880755986670712,0.3475665441245468,0.623,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.1,0.0517806820431176,0.0510581234936202,-0.2033128016597742,0.3353978816361732,0.626,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.25,0.0567923359741542,0.0486760560527249,-0.2092934406768831,0.3522670545752096,0.644,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.5,0.0587606153398069,0.0605173941667134,-0.1931136618557367,0.3430432921219984,0.649,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.75,0.0539862976560605,0.0524767687367161,-0.2043418689830221,0.324941039093979,0.64,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,observed,0.05230304875793,0.0497960434107386,-0.213706213469123,0.326252296408405,0.627,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
clean_reference,0.0,0.2645298318431627,0.2645298318431626,0.2645298318431626,0.2645298318431626,1.0,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.0,0.2413696605530416,0.2850792220783955,-0.2386900621026651,0.6196862129781926,0.802,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.05,0.2689272144191129,0.3007868263113931,-0.2526999102983536,0.6365956234501787,0.856,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.1,0.2892985382077624,0.3182554676050306,-0.2058125723156502,0.6276101147711088,0.881,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.25,0.1653805951814792,0.1784544920411883,-0.3326729094140938,0.6073482973104875,0.718,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.5,0.1979818555400905,0.1970184604881228,-0.3160439334661963,0.6087728315126293,0.757,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.75,0.0748378657480847,0.0614665552837174,-0.4707419782026058,0.5667959725862519,0.602,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,observed,0.2577698826003786,0.2981558863247819,-0.247230065905764,0.6408427161759407,0.819,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
observed_composition,observed,0.3243835471436211,0.3243835471436211,0.3243835471436211,0.3243835471436211,1.0,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.0,0.3182775033784114,0.3397294688430228,-0.2299995899814547,0.796785718647594,0.859,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
