dataset,task,mode,target_rate,mean_tau,median_tau,ci_lower,ci_upper
tdc/CYP1A2_Veith,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/CYP2C19_Veith,classification,clean_reference,0.0,0.7333333333333332,0.7333333333333333,0.7333333333333333,0.7333333333333333
tdc/CYP2C19_Veith,classification,leakage_curve,0.0,0.7272900655593422,0.7333333333333333,0.3333333333333333,1.0
tdc/CYP2C19_Veith,classification,leakage_curve,observed,0.7224035300113602,0.7333333333333333,0.3333333333333333,1.0
tdc/CYP2C19_Veith,classification,leakage_curve,0.75,0.7445591124701946,0.7333333333333333,0.4666666666666666,1.0
tdc/CYP2C19_Veith,classification,conflict_curve,observed,0.2084529171066238,0.3464101615137754,-0.7006490497453707,0.8563488385776752
tdc/CYP2C19_Veith,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/CYP2C9_Substrate_CarbonMangels,classification,clean_reference,0.0,1.0,1.0,1.0,1.0
tdc/CYP2C9_Substrate_CarbonMangels,classification,leakage_curve,0.0,0.2406790522829135,0.4140393356054125,-0.8563488385776752,0.8563488385776752
tdc/CYP2C9_Substrate_CarbonMangels,classification,leakage_curve,observed,0.2737115286006256,0.501280411827603,-0.8563488385776752,0.8563488385776752
tdc/CYP2C9_Substrate_CarbonMangels,classification,leakage_curve,0.75,-0.4825174865912652,-0.3892494720807615,-0.894427190999916,0.1154700538379251
tdc/CYP2C9_Substrate_CarbonMangels,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/CYP2C9_Veith,classification,clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
tdc/CYP2C9_Veith,classification,leakage_curve,0.0,0.7502842360136324,0.7333333333333333,0.4666666666666666,1.0
tdc/CYP2C9_Veith,classification,leakage_curve,observed,0.7796561573424214,0.7333333333333333,0.4666666666666666,1.0
tdc/CYP2C9_Veith,classification,leakage_curve,0.75,0.8899334140431695,0.8666666666666666,0.6,1.0
tdc/CYP2C9_Veith,classification,conflict_curve,observed,0.2296835023934803,0.2981423969999719,-0.6381974900516725,0.8563488385776752
tdc/CYP2C9_Veith,classification,observed_composition,observed,1.0,1.0,1.0,1.0
