dataset,family,task,metric,model,perf_delta_075_minus_0,score_delta_075_minus_0
tdc/CYP1A2_Veith,tdc,classification,auroc,ecfp_linear,0.10115905664975955,0.10115905664975955
tdc/CYP1A2_Veith,tdc,classification,auroc,ecfp_rf,0.08211392136020879,0.08211392136020879
tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,0.07175004329893309,0.07175004329893309
tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_basic,0.07504370552752626,0.07504370552752626
tdc/CYP1A2_Veith,tdc,classification,auroc,torch_mlp_advanced,0.10290859713120915,0.10290859713120915
tdc/CYP1A2_Veith,tdc,classification,auroc,torch_mlp_basic,0.09605749632920935,0.09605749632920935
tdc/CYP2C19_Veith,tdc,classification,auroc,ecfp_linear,0.12453938604287862,0.12453938604287862
tdc/CYP2C19_Veith,tdc,classification,auroc,ecfp_rf,0.07483304289664572,0.07483304289664572
tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,0.08737106249551108,0.08737106249551108
tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_basic,0.08660910072362271,0.08660910072362271
tdc/CYP2C19_Veith,tdc,classification,auroc,torch_mlp_advanced,0.09059319751939243,0.09059319751939243
tdc/CYP2C19_Veith,tdc,classification,auroc,torch_mlp_basic,0.09655096580298794,0.09655096580298794
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_linear,-0.18450000000000005,-0.18450000000000005
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,-0.26116666666666666,-0.26116666666666666
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_advanced,-0.5026666666666668,-0.5026666666666668
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,-0.5068333333333334,-0.5068333333333334
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_advanced,-0.19533333333333336,-0.19533333333333336
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,-0.23783333333333334,-0.23783333333333334
tdc/CYP2C9_Veith,tdc,classification,auroc,ecfp_linear,0.10814868126044586,0.10814868126044586
tdc/CYP2C9_Veith,tdc,classification,auroc,ecfp_rf,0.09991895696601572,0.09991895696601572
tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,0.091473751579634,0.091473751579634
