model,n,score,rank
lgbm_basic,215,5.537948710661029,1.0
ecfp_rf,215,5.6976953362611535,2.0
lgbm_advanced,215,5.758978632099436,3.0
torch_mlp_advanced,215,5.967355592087665,4.0
torch_mlp_basic,215,6.573001889685715,5.0
ecfp_linear,215,9.007030445902258,6.0
