model,n,score,rank
lgbm_advanced,220,39.34701033917244,1.0
ecfp_rf,220,40.3248015380613,2.0
lgbm_basic,220,40.43938993789109,3.0
torch_mlp_advanced,220,43.82685618291836,4.0
torch_mlp_basic,220,46.57632497923303,5.0
ecfp_linear,220,65.69929769887162,6.0
