mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.46666666666666673,0.4666666666666666,0.4666666666666666,0.4666666666666666
leakage_curve,0.0,0.2231146160846174,0.27602622373694163,-0.7333333333333333,0.8666666666666666
leakage_curve,0.05,0.2237974064956876,0.3333333333333333,-0.6900655593423543,0.8666666666666666
leakage_curve,0.1,0.22627393019744824,0.28708431036845683,-0.6911472536921287,0.8666666666666666
leakage_curve,0.25,0.2657110005096747,0.3333333333333333,-0.6,0.8666666666666666
leakage_curve,0.5,0.11226984150732815,0.2,-0.7745966692414834,0.8666666666666666
leakage_curve,0.75,-0.08054448319667891,-0.06666666666666665,-0.8666666666666666,0.6900655593423543
leakage_curve,observed,0.23722886430761192,0.3333333333333333,-0.6,0.8666666666666666
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.3563892449328305,0.4666666666666666,-0.6445033866354897,0.86827373340628
random_matched_control,0.05,0.3589915490053462,0.43062646555268524,-0.6,0.9660917830792959
random_matched_control,0.1,0.3377914799099971,0.41403933560541256,-0.6,0.8666666666666666
random_matched_control,0.25,0.36288354923217075,0.4666666666666666,-0.6,0.9660917830792959
random_matched_control,0.5,0.36386393197934547,0.447213595499958,-0.5532511362870361,0.894427190999916
random_matched_control,0.75,0.3349100390727161,0.41403933560541256,-0.6,0.9660917830792959
random_matched_control,observed,0.3547463008279247,0.41403933560541256,-0.4686237315228265,0.8666666666666666
