model,n,score,rank
ecfp_rf,407,0.802094868955334,1.0
lgbm_advanced,407,0.7793927648578811,2.0
lgbm_basic,407,0.7767626430417129,3.0
torch_mlp_advanced,407,0.7181616832779624,4.0
ecfp_linear,407,0.7109173126614987,5.0
torch_mlp_basic,407,0.7084486895533407,6.0
