group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,1311,38.44913055772257,0.029328093484151465,0.6136656794845774
audit_group,exact_leak,19,0.26476103189690886,0.013934791152468887,0.0013466730954298707
audit_group,label_conflict,5,1.6257609628331497,0.32515219256662997,0.004686176858680724
audit_group,near_train_analogue,196,34.474437744877484,0.17588998849427287,0.11575474838399996
audit_group,same_scaffold,885,37.168402893001996,0.04199819535932429,0.264546722177312
clean_vs_nonclean,audit_clean,1311,38.44913055772257,0.029328093484151465,0.6136656794845774
clean_vs_nonclean,nonclean,1105,73.53336263260954,0.06654602953177334,0.38633432051542255
max_train_tanimoto_bin,"[0, 0.4)",500,11.44656925229463,0.02289313850458926,0.23252154778154485
max_train_tanimoto_bin,"[0.4, 0.6)",864,24.956467561121034,0.02888480041796416,0.3994453192743599
max_train_tanimoto_bin,"[0.6, 0.8)",627,30.738395373628773,0.049024554024926274,0.1908941458236876
max_train_tanimoto_bin,"[0.8, 0.9)",288,14.035794911635147,0.04873539899873315,0.07593028741416381
max_train_tanimoto_bin,"[0.9, 1.0]",137,30.805266091652513,0.224855956873376,0.10120869970624372
