mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
conflict_curve,0.0,0.20919668841277508,0.25819888974716115,-0.5520524474738833,0.8200082092573335
conflict_curve,0.05,0.20572698251288993,0.25819888974716115,-0.6558939298122058,0.8563488385776752
conflict_curve,0.1,0.13467133775247786,0.14907119849998599,-0.7006490497453707,0.8008408621177943
conflict_curve,0.25,0.05810219555703641,0.07161148740394328,-0.6445033866354897,0.7745966692414834
conflict_curve,0.5,-0.07400558859794924,-0.07161148740394328,-0.6900655593423543,0.5962847939999439
conflict_curve,0.75,-0.1604834319936253,-0.14907119849998599,-0.7006490497453707,0.5520524474738833
conflict_curve,observed,0.22968350239348037,0.29814239699997197,-0.6381974900516725,0.8563488385776752
leakage_curve,0.0,0.7502842360136324,0.7333333333333333,0.4666666666666666,0.9999999999999999
leakage_curve,0.05,0.7646233988926756,0.7333333333333333,0.4666666666666666,0.9999999999999999
leakage_curve,0.1,0.7846924458035278,0.7333333333333333,0.4666666666666666,0.9999999999999999
leakage_curve,0.25,0.8112421180068161,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,0.5,0.8335321835661584,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.75,0.8899334140431695,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,observed,0.7796561573424214,0.7333333333333333,0.4666666666666666,0.9999999999999999
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.5506976763110345,0.7333333333333333,-0.5449492609130661,0.9999999999999999
random_matched_control,0.05,0.5548457977505648,0.7333333333333333,-0.5449492609130661,0.9999999999999999
random_matched_control,0.1,0.5495883382172649,0.7333333333333333,-0.5449492609130661,0.9999999999999999
random_matched_control,0.25,0.5471760741032624,0.7333333333333333,-0.5466825712831286,0.9999999999999999
random_matched_control,0.5,0.5407181410685297,0.7333333333333333,-0.5520524474738833,0.9999999999999999
random_matched_control,0.75,0.5637037596081405,0.7333333333333333,-0.5449492609130661,0.9999999999999999
random_matched_control,observed,0.5561853962959473,0.7333333333333333,-0.5449492609130661,0.9999999999999999
