model,n,score,rank
lgbm_advanced,2531,0.8902371476891932,1.0
ecfp_rf,2531,0.8854687313353073,2.0
lgbm_basic,2531,0.8853709676405314,3.0
torch_mlp_basic,2531,0.8574294120975501,4.0
torch_mlp_advanced,2531,0.8565954343411482,5.0
ecfp_linear,2531,0.8229958442570903,6.0
