dataset_quality,n_selected,min_tanimoto,median_tanimoto,max_tanimoto,min_abs_delta,median_abs_delta,max_abs_delta
best,10,0.7878787878787878,0.8326555023923445,0.8676470588235294,1.0,1.0,1.0
worst,10,0.7391304347826086,0.7391304347826086,0.9411764705882353,7.7133120872,8.67632940305,10.3343378619
