mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
leakage_curve,0.0,0.208078176958983,0.2335496832484569,-0.5678635860462223,0.894427190999916
leakage_curve,0.05,0.19033576859426676,0.2148344622118299,-0.5773502691896257,0.894427190999916
leakage_curve,0.1,0.15403995504180398,0.2148344622118299,-0.65155656291104,0.8079025163271006
leakage_curve,0.25,0.08854326605033737,0.0778498944161523,-0.7302967433402213,0.7831309691727134
leakage_curve,0.5,0.2716758904943817,0.34641016151377546,-0.5773502691896257,0.8563488385776752
leakage_curve,0.75,0.29821056742960544,0.40164440384308703,-0.25819888974716115,0.8563488385776752
leakage_curve,observed,0.19048735297241362,0.2148344622118299,-0.5520524474738833,0.894427190999916
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.15099813710645724,0.18257418583505533,-0.6024640760767093,0.8563488385776752
random_matched_control,0.05,0.13451563661892446,0.14907119849998599,-0.6484548547911727,0.8563488385776752
random_matched_control,0.1,0.14921939453920147,0.2148344622118299,-0.7302967433402213,0.8563488385776752
random_matched_control,0.25,0.15082105784547756,0.2148344622118299,-0.6213817658281604,0.894427190999916
random_matched_control,0.5,0.15891001102322205,0.2148344622118299,-0.6024640760767093,0.8563488385776752
random_matched_control,0.75,0.16847132112661364,0.2148344622118299,-0.5962847939999439,0.8563488385776752
random_matched_control,observed,0.15621324543480386,0.2148344622118299,-0.6024640760767093,0.8408002465259057
