model,n,score,rank
lgbm_advanced,2516,0.9287120071193866,1.0
lgbm_basic,2516,0.9232735867713278,2.0
ecfp_rf,2516,0.9209403903492758,3.0
torch_mlp_basic,2516,0.9032224225183562,4.0
torch_mlp_advanced,2516,0.8995153594174679,5.0
ecfp_linear,2516,0.8612977795018457,6.0
