mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.01615926144228019,0.016159261442280193,0.016159261442280193,0.016159261442280193,1.0
conflict_curve,0.0,0.01525,0.0,-0.5,0.5,0.084
conflict_curve,0.05,0.02125,0.0,-0.5,0.5,0.092
conflict_curve,0.1,0.02075,0.0,-0.5,0.5,0.09
conflict_curve,0.25,0.18575,0.0,-0.25624999999999964,1.0,0.368
conflict_curve,0.5,,,,,0.0
conflict_curve,0.75,,,,,0.0
conflict_curve,observed,0.011,0.0,-0.5,0.5,0.076
leakage_curve,0.0,0.01649929078014184,0.01617696724079709,-0.005070077676460646,0.038606889564336326,0.942
leakage_curve,0.05,0.014441611786271987,0.014240613755176879,-0.006179136397583146,0.035884988797610096,0.907
leakage_curve,0.1,0.013266305827886711,0.013003812636165568,-0.00616744961873645,0.035409858387799725,0.892
leakage_curve,0.25,0.009501695149795882,0.009444406005673533,-0.008068394105030035,0.02668650107244168,0.856
leakage_curve,0.5,0.006459148446490206,0.006616800920598409,-0.007336018411967629,0.019888161680092067,0.835
leakage_curve,0.75,0.006135412718866062,0.006329113924050667,-0.0017821951034640183,0.01319165466535294,0.934
leakage_curve,observed,0.014165354063412327,0.01432548034489789,-0.005466257043926881,0.0347282571797136,0.914
observed_composition,observed,0.007771616770110845,0.007771616770110845,0.007771616770110845,0.007771616770110845,1.0
random_matched_control,0.0,0.010636240053050408,0.0,-0.00974966843501326,0.5,0.4295
random_matched_control,0.05,0.007653564323607435,0.0,-0.014325265251989317,0.5,0.4305
random_matched_control,0.1,0.009222198275862077,0.0,-0.010219661803713406,0.5,0.445
random_matched_control,0.25,0.005719147877984094,0.0,-0.012740384615384622,0.5,0.434
random_matched_control,0.5,0.006827503315649878,0.0,-0.018341346153845996,0.5,0.445
random_matched_control,0.75,0.009855089522546427,0.0,-0.010658985411140553,0.5,0.449
random_matched_control,observed,0.0082104277188329,0.0,-0.012042440318302346,0.5,0.4295
