mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
conflict_curve,0.0,0.15492233494842975,0.18257418583505533,-0.7745966692414834,0.7745966692414834
conflict_curve,0.05,0.20956461048277272,0.34641016151377546,-0.7302967433402213,0.7745966692414834
conflict_curve,0.1,0.18830665870661667,0.32227627925687374,-0.7302967433402213,0.7745966692414834
conflict_curve,0.25,0.1610508162094628,0.25819888974716115,-0.5773502691896257,0.8563488385776752
conflict_curve,0.5,,,,
conflict_curve,0.75,,,,
conflict_curve,observed,0.19427306336703226,0.25819888974716115,-0.7302967433402213,0.7745966692414834
leakage_curve,0.0,0.8394795562350973,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,0.05,0.8285368633446937,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,0.1,0.8283169944633784,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,0.25,0.8080608371209567,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,0.5,0.7441673222600901,0.7333333333333333,0.3300000000000002,0.9999999999999999
leakage_curve,0.75,0.6267988502328251,0.6,0.06666666666666665,0.9999999999999999
leakage_curve,observed,0.8315275037876233,0.8666666666666666,0.4666666666666666,0.9999999999999999
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.6760048133794851,0.7333333333333333,-0.36514837167011066,0.9999999999999999
random_matched_control,0.05,0.6536446488163683,0.7333333333333333,-0.5477225575051661,0.9999999999999999
random_matched_control,0.1,0.6592586745413263,0.7333333333333333,-0.5449492609130661,0.9999999999999999
random_matched_control,0.25,0.6624673939915766,0.7333333333333333,-0.3892494720807615,0.9999999999999999
random_matched_control,0.5,0.6658363855041316,0.7333333333333333,-0.36514837167011066,0.9999999999999999
random_matched_control,0.75,0.6669533252826034,0.7333333333333333,-0.4303314829119352,0.9999999999999999
random_matched_control,observed,0.6808370688099386,0.7333333333333333,-0.3265626253662871,0.9999999999999999
