mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
leakage_curve,0.0,0.24067905228291353,0.41403933560541256,-0.8563488385776752,0.8563488385776752
leakage_curve,0.05,0.24289284439683131,0.40164440384308703,-0.8563488385776752,0.894427190999916
leakage_curve,0.1,0.2356705726219782,0.41403933560541256,-0.8563488385776752,0.8563488385776752
leakage_curve,0.25,0.24235288214159384,0.447213595499958,-0.8563488385776752,0.8563488385776752
leakage_curve,0.5,-0.13677828739213901,-0.25819888974716115,-0.894427190999916,0.7745966692414834
leakage_curve,0.75,-0.4825174865912652,-0.3892494720807615,-0.894427190999916,0.11547005383792514
leakage_curve,observed,0.2737115286006256,0.501280411827603,-0.8563488385776752,0.8563488385776752
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.1396437464975964,0.2335496832484569,-0.8563488385776752,0.8563488385776752
random_matched_control,0.05,0.12352749425263512,0.2335496832484569,-0.8563488385776752,0.8563488385776752
random_matched_control,0.1,0.16707985671986403,0.34641016151377546,-0.7877263614433762,0.8563488385776752
random_matched_control,0.25,0.1573408097804973,0.34641016151377546,-0.7745966692414834,0.8563488385776752
random_matched_control,0.5,0.16782920155218084,0.34641016151377546,-0.7745966692414834,0.8563488385776752
random_matched_control,0.75,0.18071520825300558,0.34641016151377546,-0.8563488385776752,0.8563488385776752
random_matched_control,observed,0.15197670445340755,0.25819888974716115,-0.7745966692414834,0.8563488385776752
