model,n,score,rank
lgbm_basic,134,0.726202838352371,1.0
lgbm_advanced,134,0.7227414330218068,2.0
ecfp_rf,134,0.6654551748009692,3.0
torch_mlp_basic,134,0.6517826237452407,4.0
ecfp_linear,134,0.632398753894081,5.0
torch_mlp_advanced,134,0.6168224299065419,6.0
