group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,75,238.20167082722963,3.1760222776963953,0.8612142660379851
audit_group,near_train_analogue,12,-5.943468348632112,-0.49528902905267597,0.00027595668141234495
audit_group,same_scaffold,41,10.541413523396345,0.25710764691210597,0.13850977728060246
clean_vs_nonclean,audit_clean,75,238.20167082722963,3.1760222776963953,0.8612142660379851
clean_vs_nonclean,nonclean,53,4.597945174764233,0.08675368254272137,0.1387857339620148
max_train_tanimoto_bin,"[0, 0.4)",31,215.64910048200358,6.956422596193664,0.8131495683211056
max_train_tanimoto_bin,"[0.4, 0.6)",55,10.572405462646552,0.19222555386630094,0.09053652755939988
max_train_tanimoto_bin,"[0.6, 0.8)",26,23.51762842925838,0.9045241703560916,0.09602985218641723
max_train_tanimoto_bin,"[0.8, 0.9)",5,-1.0275515305315592,-0.20551030610631185,8.09525166518258e-06
max_train_tanimoto_bin,"[0.9, 1.0]",11,-5.911966841383095,-0.5374515310348268,0.00027595668141234495
