fraction,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std,kendall_tau_mean,kendall_tau_std,r2_mean,r2_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,n_points
0.0,0.5515203579343849,0.15560069666151488,0.5537040254518425,0.1629355691156651,0.40089355162080104,0.14327688724440638,0.3108078762787517,0.20569170117653865,0.341770139742738,0.1837376643037797,0.5554325262531664,0.1969999744751863,0.42349397986501003,0.14769468103146174,7
0.01,0.5545927777905608,0.15096329881501883,0.5458869812787481,0.15906865774639573,0.396785203594471,0.1405448369266566,0.31642321763774056,0.2017647163766238,0.3407271213475518,0.19138776897297183,0.5538024933539539,0.19925253570844434,0.419278055194307,0.14552253096198214,7
0.02,0.5529549729762949,0.15622815740860577,0.54202823675869,0.15755882278789737,0.3911526740365678,0.14045002021488515,0.3138202224127952,0.20292537889209375,0.34047295668561134,0.1866050246884697,0.5542513790099611,0.19703999545700307,0.4247357016488899,0.1492922824386128,7
0.03,0.5217127690876253,0.17428525376725829,0.525340571235927,0.16728868031189306,0.38360511778462036,0.14327735824339852,0.28748774863986754,0.2142028763437961,0.35410014478030527,0.19773140417117516,0.5648051062099221,0.20234762063362113,0.43254342041759297,0.15378986250048904,7
0.04,0.5323123975951897,0.15975839814923296,0.5334604347286489,0.1527988536563786,0.3836928445636158,0.13537469912511554,0.2940301339942303,0.20613009860722348,0.3532579064042283,0.20768768389643458,0.5631812936974195,0.20518006637857705,0.43072909001995086,0.15035428395455236,7
0.05,0.5093948449250824,0.17044231732154022,0.5128398890998795,0.17475004244626258,0.37581256552161896,0.14628166806534904,0.2715306826299713,0.21709781481715945,0.36437709491251496,0.20920129968787674,0.5720460346803546,0.20815979592330117,0.4353085321191132,0.15617557048850156,7
0.06,0.5005381310985564,0.17828539498432763,0.49196119505576147,0.19574305197412442,0.3534766455706361,0.16067993261251778,0.264316681579889,0.21487623815123486,0.36681473949563725,0.2089346601467282,0.5745090617971299,0.20707427888736454,0.440657509875061,0.1594321111807565,7
0.07,0.4525066369364312,0.23351039844378602,0.453262337453828,0.21644415599371145,0.33112451155613604,0.17095162900410202,0.2318518581856979,0.24846369951790923,0.389994224933263,0.25081709276933967,0.5883847094967726,0.2260470489174144,0.45557423063080416,0.1716187254163253,7
0.08,0.5311234699393587,0.15567833317170063,0.5260857166706516,0.1622941726870042,0.3806849548900719,0.13757891624039234,0.28341692016192854,0.1963033230383079,0.3517640209328278,0.18296531392779042,0.5654207546171091,0.1934096422395256,0.42846635987624515,0.14123245140874632,7
0.09,0.5303766093650429,0.15321084180782207,0.5396407548200021,0.1533217826190233,0.39140243484702947,0.13360646154642847,0.28998953350512374,0.19224113810290802,0.34757948051718124,0.17878117161241291,0.5624851868498201,0.19075694205014296,0.4319282137880701,0.14590292035534333,7
