mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
leakage_curve,0.0,0.189158385991349,0.34641016151377546,-0.7745966692414834,0.8563488385776752
leakage_curve,0.05,0.13131928311379687,0.2148344622118299,-0.8151753522970957,0.8563488385776752
leakage_curve,0.1,0.156982850504486,0.25819888974716115,-0.7745966692414834,0.8563488385776752
leakage_curve,0.25,0.16498677283626853,0.25819888974716115,-0.7745966692414834,0.8563488385776752
leakage_curve,0.5,0.1589309242364085,0.2335496832484569,-0.7745966692414834,0.8563488385776752
leakage_curve,0.75,0.5773502691896256,0.5773502691896257,0.5773502691896257,0.5773502691896257
leakage_curve,observed,0.1463592639228374,0.25819888974716115,-0.7745966692414834,0.8563488385776752
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.19905144596621804,0.34641016151377546,-0.7745966692414834,0.8563488385776752
random_matched_control,0.05,0.2201990662473533,0.36514837167011066,-0.7745966692414834,0.8563488385776752
random_matched_control,0.1,0.20137074785540796,0.34641016151377546,-0.7745966692414834,0.8563488385776752
random_matched_control,0.25,0.2190204352086621,0.34641016151377546,-0.7745966692414834,0.8563488385776752
random_matched_control,0.5,0.24490451855451215,0.36514837167011066,-0.7745966692414834,0.8563488385776752
random_matched_control,0.75,0.19799168554976132,0.34641016151377546,-0.7745966692414834,0.8563488385776752
random_matched_control,observed,0.2207507784584346,0.36514837167011066,-0.7745966692414834,0.8563488385776752
