model,n,score,rank
ecfp_linear,128,0.7906432748538011,1.0
torch_mlp_basic,128,0.7795321637426901,2.0
torch_mlp_advanced,128,0.7728070175438596,3.0
ecfp_rf,128,0.7008771929824562,4.0
lgbm_advanced,128,0.6894736842105262,5.0
lgbm_basic,128,0.6612573099415204,6.0
